self.yaw: -0.4148819148540497
self.home: array('f', [-0.323825865983963, -1.5689815282821655, -0.2320326268672943])
shift: [ 0.45758196 -0.20154093  0.        ]
edge case - count_goal : 503,   delta_t_goal : 1,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [ -0.90892249  -1.49968231 -10.2527523 ]
edge case - count_goal : 503,   delta_t_goal : 2,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [ -0.90807974  -1.49934494 -10.25368595]
edge case - count_goal : 503,   delta_t_goal : 3,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [ -0.90635252  -1.49815726 -10.25467777]
edge case - count_goal : 503,   delta_t_goal : 4,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [ -0.90588301  -1.49818301 -10.25555801]
edge case - count_goal : 503,   delta_t_goal : 5,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [ -0.90534884  -1.49809599 -10.25639915]
edge case - count_goal : 503,   delta_t_goal : 6,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [ -0.90467721  -1.49760878 -10.25664806]
edge case - count_goal : 503,   delta_t_goal : 7,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [ -0.90430349  -1.49725091 -10.25653934]
edge case - count_goal : 503,   delta_t_goal : 8,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [ -0.90340024  -1.49616086 -10.25640106]
edge case - count_goal : 503,   delta_t_goal : 9,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [ -0.90303731  -1.49538136 -10.25627613]
edge case - count_goal : 503,   delta_t_goal : 10,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [ -0.90254265  -1.49427116 -10.25529671]
edge case - count_goal : 503,   delta_t_goal : 11,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [ -0.90168172  -1.49234283 -10.2528038 ]
edge case - count_goal : 503,   delta_t_goal : 12,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [ -0.90092725  -1.49082756 -10.24958229]
edge case - count_goal : 503,   delta_t_goal : 13,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [ -0.90092725  -1.49082756 -10.24958229]
edge case - count_goal : 503,   delta_t_goal : 14,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [ -0.89998096  -1.48902237 -10.24343491]
edge case - count_goal : 503,   delta_t_goal : 15,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [ -0.89942378  -1.48809552 -10.23966694]
edge case - count_goal : 503,   delta_t_goal : 16,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [ -0.89942378  -1.48809552 -10.23966694]
edge case - count_goal : 503,   delta_t_goal : 17,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [ -0.89879769  -1.48712075 -10.23562336]
edge case - count_goal : 503,   delta_t_goal : 18,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [ -0.89844817  -1.48563898 -10.22603893]
edge case - count_goal : 503,   delta_t_goal : 19,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [ -0.89815038  -1.48490798 -10.22070503]
