self.yaw: 0.15087074041366577
self.home: array('f', [-1.9287900924682617, -1.010053038597107, -3.4827675819396973])
shift: [0.49432029 0.07514952 0.        ]
edge case - count_goal : 504,   delta_t_goal : 1,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.30957294  -1.0610795  -13.53107738]
edge case - count_goal : 504,   delta_t_goal : 2,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.31009626  -1.05985045 -13.53099155]
edge case - count_goal : 504,   delta_t_goal : 3,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.31132412  -1.05627525 -13.53091621]
edge case - count_goal : 504,   delta_t_goal : 4,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.31158352  -1.05524981 -13.53070831]
edge case - count_goal : 504,   delta_t_goal : 5,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.31214356  -1.05221856 -13.53082848]
edge case - count_goal : 504,   delta_t_goal : 6,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.31233025  -1.05035853 -13.53130531]
edge case - count_goal : 504,   delta_t_goal : 7,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.31243753  -1.04860389 -13.53138065]
edge case - count_goal : 504,   delta_t_goal : 8,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.31243038  -1.04740167 -13.53115273]
edge case - count_goal : 504,   delta_t_goal : 9,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.31224275  -1.04669261 -13.53109264]
edge case - count_goal : 504,   delta_t_goal : 10,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.31197381  -1.04617465 -13.53105068]
edge case - count_goal : 504,   delta_t_goal : 11,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.31164742  -1.0458225  -13.53023338]
edge case - count_goal : 504,   delta_t_goal : 12,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.31129479  -1.04570746 -13.52882195]
