self.yaw: 0.271124005317688
self.home: array('f', [-1.560584545135498, -1.4816746711730957, 0.18644234538078308])
shift: [0.48173524 0.13390728 0.        ]
edge case - count_goal : 501,   delta_t_goal : 1,   xf_goal : [-1.07884931 -1.3477674   0.18644235],   vehicle_position : [-1.98887849 -1.64628434 -9.79784393]
edge case - count_goal : 501,   delta_t_goal : 2,   xf_goal : [-1.07884931 -1.3477674   0.18644235],   vehicle_position : [-1.98870468 -1.64425898 -9.79749489]
edge case - count_goal : 501,   delta_t_goal : 3,   xf_goal : [-1.07884931 -1.3477674   0.18644235],   vehicle_position : [-1.98826909 -1.63757312 -9.79728127]
apriltag bezier - count : 403,   delta_t : 1,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.98826909 -1.63757312 -9.79728127]
apriltag bezier - count : 403,   delta_t : 2,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.98774862 -1.63558984 -9.79778576]
apriltag bezier - count : 403,   delta_t : 3,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.98703766 -1.63356209 -9.7981863 ]
apriltag bezier - count : 403,   delta_t : 4,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.98514438 -1.62841499 -9.79845142]
apriltag bezier - count : 403,   delta_t : 5,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.98430455 -1.62639081 -9.798419  ]
apriltag bezier - count : 403,   delta_t : 6,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.98350656 -1.62451661 -9.79735279]
apriltag bezier - count : 403,   delta_t : 7,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.9823184  -1.62172842 -9.79533291]
apriltag bezier - count : 403,   delta_t : 8,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.98147881 -1.61999571 -9.79358387]
apriltag bezier - count : 403,   delta_t : 9,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.98000395 -1.61620235 -9.78773689]
