self.yaw: 1.8846917152404785
self.home: array('f', [0.8824641108512878, 0.45441657304763794, -1.7762417793273926])
shift: [-0.15438301  0.47556901  0.        ]
edge case - count_goal : 501,   delta_t_goal : 1,   xf_goal : [ 0.7280811   0.92998559 -1.77624178],   vehicle_position : [  1.0793066    0.12359049 -11.76682854]
apriltag bezier - count : 761,   delta_t : 1,   xf : [ 0.80498222 -0.09782497  3.47349215],   vehicle_position : [  1.07886016   0.12349429 -11.7670927 ]
apriltag bezier - count : 761,   delta_t : 2,   xf : [ 0.80498222 -0.09782497  3.47349215],   vehicle_position : [  1.07768559   0.12330224 -11.76790333]
apriltag bezier - count : 761,   delta_t : 3,   xf : [ 0.80498222 -0.09782497  3.47349215],   vehicle_position : [  1.07563806   0.12278543 -11.76864815]
apriltag bezier - count : 761,   delta_t : 4,   xf : [ 0.80498222 -0.09782497  3.47349215],   vehicle_position : [  1.07563806   0.12278543 -11.76864815]
apriltag bezier - count : 761,   delta_t : 5,   xf : [ 0.80498222 -0.09782497  3.47349215],   vehicle_position : [  1.07391906   0.12331101 -11.76902962]
apriltag bezier - count : 761,   delta_t : 6,   xf : [ 0.80498222 -0.09782497  3.47349215],   vehicle_position : [  1.07103586   0.12354577 -11.76820946]
apriltag bezier - count : 761,   delta_t : 7,   xf : [ 0.80498222 -0.09782497  3.47349215],   vehicle_position : [  1.07000089   0.1238272  -11.76768875]
apriltag bezier - count : 761,   delta_t : 8,   xf : [ 0.80498222 -0.09782497  3.47349215],   vehicle_position : [  1.06873834   0.12400882 -11.76709843]
apriltag bezier - count : 761,   delta_t : 9,   xf : [ 0.80498222 -0.09782497  3.47349215],   vehicle_position : [  1.06722569   0.12410119 -11.7658968 ]
apriltag bezier - count : 761,   delta_t : 10,   xf : [ 0.80498222 -0.09782497  3.47349215],   vehicle_position : [  1.06478667   0.12405847 -11.76390839]
apriltag bezier - count : 761,   delta_t : 11,   xf : [ 0.80498222 -0.09782497  3.47349215],   vehicle_position : [  1.06400311   0.12400328 -11.76312065]
apriltag bezier - count : 761,   delta_t : 12,   xf : [ 0.80498222 -0.09782497  3.47349215],   vehicle_position : [  1.06329811   0.12407061 -11.76236629]
apriltag bezier - count : 763,   delta_t : 13,   xf : [0.1505992  0.37774404 3.47349215],   vehicle_position : [  1.05882144   0.12391355 -11.75691128]
apriltag bezier - count : 763,   delta_t : 1,   xf : [0.1505992  0.37774404 3.47349215],   vehicle_position : [  1.05786502   0.12385379 -11.75563431]
apriltag bezier - count : 763,   delta_t : 2,   xf : [0.1505992  0.37774404 3.47349215],   vehicle_position : [  1.0569104    0.12378553 -11.75432301]
