self.yaw: -1.2179827690124512
self.home: array('f', [0.40923038125038147, 0.35613349080085754, 0.3800775408744812])
shift: [ 0.17276971 -0.46920212  0.        ]
edge case - count_goal : 503,   delta_t_goal : 1,   xf_goal : [ 0.58200009 -0.11306863  0.38007754],   vehicle_position : [ 0.08970588  0.83359039 -9.6297226 ]
apriltag bezier - count : 497,   delta_t : 1,   xf : [-1.38753588 -0.8947797   0.05358158],   vehicle_position : [ 0.08257989  0.82928342 -9.63096237]
apriltag bezier - count : 497,   delta_t : 1,   xf : [-1.38753588 -0.8947797   0.05358158],   vehicle_position : [ 0.08257989  0.82928342 -9.63096237]
apriltag bezier - count : 497,   delta_t : 2,   xf : [-1.38753588 -0.8947797   0.05358158],   vehicle_position : [ 0.08137739  0.82877785 -9.63096523]
apriltag bezier - count : 497,   delta_t : 3,   xf : [-1.38753588 -0.8947797   0.05358158],   vehicle_position : [ 0.07999229  0.82848477 -9.63114166]
apriltag bezier - count : 497,   delta_t : 4,   xf : [-1.38753588 -0.8947797   0.05358158],   vehicle_position : [ 0.07657481  0.82777965 -9.63015461]
apriltag bezier - count : 497,   delta_t : 5,   xf : [-1.38753588 -0.8947797   0.05358158],   vehicle_position : [ 0.07591075  0.82771987 -9.62942886]
apriltag bezier - count : 497,   delta_t : 6,   xf : [-1.2111872  -0.90621023  0.08140275],   vehicle_position : [ 0.0743572   0.82721823 -9.62763023]
apriltag bezier - count : 497,   delta_t : 1,   xf : [-1.2111872  -0.90621023  0.08140275],   vehicle_position : [ 0.07332771  0.82683438 -9.62516689]
apriltag bezier - count : 497,   delta_t : 2,   xf : [-1.2111872  -0.90621023  0.08140275],   vehicle_position : [ 0.07293495  0.826689   -9.62429142]
apriltag bezier - count : 497,   delta_t : 3,   xf : [-1.2111872  -0.90621023  0.08140275],   vehicle_position : [ 0.07209827  0.8262834  -9.62224483]
apriltag bezier - count : 497,   delta_t : 4,   xf : [-1.2111872  -0.90621023  0.08140275],   vehicle_position : [ 0.0695086   0.8247304  -9.61250973]
apriltag bezier - count : 497,   delta_t : 5,   xf : [-1.2111872  -0.90621023  0.08140275],   vehicle_position : [ 0.06598363  0.82229668 -9.59205341]
apriltag bezier - count : 497,   delta_t : 6,   xf : [-1.2111872  -0.90621023  0.08140275],   vehicle_position : [ 0.06254112  0.82044905 -9.56877804]
apriltag bezier - count : 494,   delta_t : 7,   xf : [-1.20976157 -0.90630098  0.08162826],   vehicle_position : [ 0.0502803   0.81429642 -9.5075779 ]
apriltag bezier - count : 494,   delta_t : 1,   xf : [-1.20976157 -0.90630098  0.08162826],   vehicle_position : [ 0.04460756  0.80996329 -9.49066448]
apriltag bezier - count : 494,   delta_t : 2,   xf : [-1.20976157 -0.90630098  0.08162826],   vehicle_position : [ 0.04138238  0.80646968 -9.4808073 ]
apriltag bezier - count : 489,   delta_t : 3,   xf : [-1.2111872  -0.90621023  0.08140275],   vehicle_position : [ 0.03427012  0.79544836 -9.45353603]
apriltag bezier - count : 489,   delta_t : 1,   xf : [-1.2111872  -0.90621023  0.08140275],   vehicle_position : [ 0.03339384  0.79326433 -9.44803619]
apriltag bezier - count : 489,   delta_t : 2,   xf : [-1.2111872  -0.90621023  0.08140275],   vehicle_position : [ 0.03300421  0.79186881 -9.44395733]
apriltag bezier - count : 489,   delta_t : 3,   xf : [-1.2111872  -0.90621023  0.08140275],   vehicle_position : [ 0.0325463   0.79044461 -9.44004154]
apriltag bezier - count : 489,   delta_t : 4,   xf : [-1.2111872  -0.90621023  0.08140275],   vehicle_position : [ 0.03187863  0.78929389 -9.43608475]
apriltag bezier - count : 489,   delta_t : 5,   xf : [-1.2111872  -0.90621023  0.08140275],   vehicle_position : [ 0.03119331  0.78811419 -9.43224049]
apriltag bezier - count : 489,   delta_t : 6,   xf : [-1.2111872  -0.90621023  0.08140275],   vehicle_position : [ 0.03064398  0.786991   -9.42790699]
apriltag bezier - count : 489,   delta_t : 7,   xf : [-1.2111872  -0.90621023  0.08140275],   vehicle_position : [ 0.03002102  0.78584242 -9.42364407]
apriltag bezier - count : 489,   delta_t : 8,   xf : [-1.2111872  -0.90621023  0.08140275],   vehicle_position : [ 0.0292884   0.78460658 -9.41925049]
apriltag bezier - count : 491,   delta_t : 9,   xf : [-0.81466593 -0.62190288  0.27965564],   vehicle_position : [ 0.02510497  0.77525717 -9.3791523 ]
apriltag bezier - count : 491,   delta_t : 1,   xf : [-0.81466593 -0.62190288  0.27965564],   vehicle_position : [ 0.02391199  0.77284145 -9.36693573]
apriltag bezier - count : 491,   delta_t : 2,   xf : [-0.81466593 -0.62190288  0.27965564],   vehicle_position : [ 0.02368731  0.77226925 -9.36371231]
apriltag bezier - count : 491,   delta_t : 3,   xf : [-0.81466593 -0.62190288  0.27965564],   vehicle_position : [ 0.02217392  0.76909852 -9.34163284]
apriltag bezier - count : 491,   delta_t : 4,   xf : [-0.81466593 -0.62190288  0.27965564],   vehicle_position : [ 0.02145117  0.76723582 -9.32849503]
apriltag bezier - count : 491,   delta_t : 5,   xf : [-0.81466593 -0.62190288  0.27965564],   vehicle_position : [ 0.02101783  0.76622909 -9.32196522]
apriltag bezier - count : 491,   delta_t : 6,   xf : [-0.81466593 -0.62190288  0.27965564],   vehicle_position : [ 0.02080222  0.76529539 -9.31509209]
apriltag bezier - count : 491,   delta_t : 7,   xf : [-0.81466593 -0.62190288  0.27965564],   vehicle_position : [ 0.02050667  0.7638976  -9.30489826]
apriltag bezier - count : 495,   delta_t : 8,   xf : [-0.66048433 -0.68936053  0.4667373 ],   vehicle_position : [ 0.01494313  0.75012738 -9.18678188]
apriltag bezier - count : 491,   delta_t : 1,   xf : [-0.60046954 -0.73766314  0.51399094],   vehicle_position : [ 6.84511336e-03  7.43496239e-01 -9.11860466e+00]
apriltag bezier - count : 491,   delta_t : 1,   xf : [-0.60046954 -0.73766314  0.51399094],   vehicle_position : [ 1.47168105e-03  7.40788579e-01 -9.09862804e+00]
apriltag bezier - count : 489,   delta_t : 2,   xf : [-0.31506611 -0.56520132  0.58963901],   vehicle_position : [-0.01696695  0.7336216  -9.05177975]
apriltag bezier - count : 489,   delta_t : 1,   xf : [-0.31506611 -0.56520132  0.58963901],   vehicle_position : [-0.02943004  0.7287038  -9.02447987]
apriltag bezier - count : 489,   delta_t : 2,   xf : [-0.31506611 -0.56520132  0.58963901],   vehicle_position : [-0.03543668  0.72630662 -9.01224327]
apriltag bezier - count : 489,   delta_t : 3,   xf : [-0.31506611 -0.56520132  0.58963901],   vehicle_position : [-0.05618022  0.7167716  -8.96962833]
apriltag bezier - count : 489,   delta_t : 4,   xf : [-0.31506611 -0.56520132  0.58963901],   vehicle_position : [-0.06283671  0.71358234 -8.95681953]
apriltag bezier - count : 482,   delta_t : 5,   xf : [ 0.0158044  -0.48607961  0.61125815],   vehicle_position : [-0.11849108  0.68855971 -8.86621571]
apriltag bezier - count : 482,   delta_t : 1,   xf : [-0.36392005 -0.59916371  0.70430434],   vehicle_position : [-0.17163047  0.67404562 -8.78118992]
apriltag bezier - count : 482,   delta_t : 1,   xf : [-0.36392005 -0.59916371  0.70430434],   vehicle_position : [-0.18549123  0.67408699 -8.74663448]
apriltag bezier - count : 474,   delta_t : 2,   xf : [-0.88909323 -0.7242064   0.62108552],   vehicle_position : [-0.21285744  0.67670602 -8.64121532]
apriltag bezier - count : 474,   delta_t : 1,   xf : [-0.88909323 -0.7242064   0.62108552],   vehicle_position : [-0.2159718   0.6764614  -8.62898254]
apriltag bezier - count : 474,   delta_t : 2,   xf : [-0.88909323 -0.7242064   0.62108552],   vehicle_position : [-0.21999189  0.67603713 -8.61253166]
apriltag bezier - count : 474,   delta_t : 3,   xf : [-0.88909323 -0.7242064   0.62108552],   vehicle_position : [-0.22226553  0.67557907 -8.60447598]
apriltag bezier - count : 474,   delta_t : 4,   xf : [-0.88909323 -0.7242064   0.62108552],   vehicle_position : [-0.22715992  0.67446434 -8.58823299]
apriltag bezier - count : 466,   delta_t : 5,   xf : [-0.89143105 -0.7238573   0.62107033],   vehicle_position : [-0.25276595  0.66622126 -8.52165794]
apriltag bezier - count : 466,   delta_t : 1,   xf : [-0.89143105 -0.7238573   0.62107033],   vehicle_position : [-0.25592947  0.66493243 -8.51407528]
apriltag bezier - count : 466,   delta_t : 2,   xf : [-0.89143105 -0.7238573   0.62107033],   vehicle_position : [-0.26369467  0.66163927 -8.49551678]
apriltag bezier - count : 465,   delta_t : 3,   xf : [-0.52396531 -0.56283742  0.72434211],   vehicle_position : [-0.27191079  0.65811419 -8.47758961]
apriltag bezier - count : 465,   delta_t : 1,   xf : [-0.52396531 -0.56283742  0.72434211],   vehicle_position : [-0.27357584  0.65751642 -8.47381783]
apriltag bezier - count : 465,   delta_t : 2,   xf : [-0.52396531 -0.56283742  0.72434211],   vehicle_position : [-0.27523151  0.65693516 -8.47000122]
apriltag bezier - count : 465,   delta_t : 3,   xf : [-0.52396531 -0.56283742  0.72434211],   vehicle_position : [-0.28028402  0.65503478 -8.45882034]
apriltag bezier - count : 465,   delta_t : 4,   xf : [-0.52396531 -0.56283742  0.72434211],   vehicle_position : [-0.28374922  0.65364188 -8.45143604]
apriltag bezier - count : 465,   delta_t : 5,   xf : [-0.52396531 -0.56283742  0.72434211],   vehicle_position : [-0.28538105  0.65297002 -8.44770145]
apriltag bezier - count : 465,   delta_t : 6,   xf : [-0.52396531 -0.56283742  0.72434211],   vehicle_position : [-0.28978473  0.6511271  -8.43597794]
apriltag bezier - count : 465,   delta_t : 7,   xf : [-0.52396531 -0.56283742  0.72434211],   vehicle_position : [-0.2912688   0.65046704 -8.43211746]
apriltag bezier - count : 465,   delta_t : 8,   xf : [-0.52396531 -0.56283742  0.72434211],   vehicle_position : [-0.29426497  0.64906758 -8.42419624]
apriltag bezier - count : 465,   delta_t : 9,   xf : [-0.52396531 -0.56283742  0.72434211],   vehicle_position : [-0.30216926  0.64530104 -8.39911556]
apriltag bezier - count : 465,   delta_t : 10,   xf : [-0.52396531 -0.56283742  0.72434211],   vehicle_position : [-0.30472308  0.64414108 -8.39029598]
apriltag bezier - count : 465,   delta_t : 11,   xf : [-0.52396531 -0.56283742  0.72434211],   vehicle_position : [-0.3080852   0.64243948 -8.37664509]
apriltag bezier - count : 465,   delta_t : 12,   xf : [-0.52396531 -0.56283742  0.72434211],   vehicle_position : [-0.30909431  0.64189649 -8.37187004]
apriltag bezier - count : 465,   delta_t : 13,   xf : [-0.52396531 -0.56283742  0.72434211],   vehicle_position : [-0.31230211  0.64030486 -8.35765266]
apriltag bezier - count : 458,   delta_t : 14,   xf : [-0.52396531 -0.56283742  0.72434211],   vehicle_position : [-0.33146685  0.62915158 -8.20443344]
apriltag bezier - count : 458,   delta_t : 1,   xf : [-0.52396531 -0.56283742  0.72434211],   vehicle_position : [-0.33563069  0.62781841 -8.14338589]
apriltag bezier - count : 449,   delta_t : 2,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.34644735  0.62443811 -8.04132462]
apriltag bezier - count : 449,   delta_t : 1,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.35526398  0.62057644 -8.00134945]
apriltag bezier - count : 441,   delta_t : 2,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.39968088  0.59938818 -7.88400507]
apriltag bezier - count : 441,   delta_t : 1,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.40919676  0.59550864 -7.86067057]
apriltag bezier - count : 441,   delta_t : 2,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.41297513  0.59390688 -7.85176659]
apriltag bezier - count : 441,   delta_t : 3,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.41656467  0.59234405 -7.84253502]
apriltag bezier - count : 441,   delta_t : 4,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.42032856  0.59088653 -7.83354902]
apriltag bezier - count : 433,   delta_t : 5,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.42777848  0.58776188 -7.81612206]
apriltag bezier - count : 433,   delta_t : 1,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.43117142  0.58625978 -7.8072443 ]
apriltag bezier - count : 433,   delta_t : 2,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.43442455  0.58475888 -7.79881239]
apriltag bezier - count : 433,   delta_t : 3,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.43934885  0.58168674 -7.78624535]
apriltag bezier - count : 433,   delta_t : 4,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.4408263   0.58070636 -7.78210545]
apriltag bezier - count : 433,   delta_t : 5,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.44226754  0.57972312 -7.77783966]
apriltag bezier - count : 433,   delta_t : 6,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.44630152  0.57683545 -7.76511192]
apriltag bezier - count : 433,   delta_t : 7,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.45036778  0.57422203 -7.75214577]
apriltag bezier - count : 433,   delta_t : 8,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.45167172  0.5736295  -7.7477541 ]
apriltag bezier - count : 433,   delta_t : 9,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.45412043  0.57246125 -7.73851681]
apriltag bezier - count : 433,   delta_t : 10,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.45643765  0.57126558 -7.72930336]
apriltag bezier - count : 433,   delta_t : 11,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.45872757  0.56996608 -7.71986341]
apriltag bezier - count : 433,   delta_t : 12,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.46072656  0.56870085 -7.71036959]
apriltag bezier - count : 433,   delta_t : 13,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.46218869  0.56745636 -7.69991493]
apriltag bezier - count : 433,   delta_t : 14,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.46288058  0.56684059 -7.69472313]
apriltag bezier - count : 433,   delta_t : 15,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.46710372  0.56211627 -7.65670061]
apriltag bezier - count : 424,   delta_t : 16,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.47377568  0.55206573 -7.5642662 ]
apriltag bezier - count : 424,   delta_t : 1,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.47850731  0.54700059 -7.51860285]
apriltag bezier - count : 424,   delta_t : 2,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.48333052  0.54260319 -7.47927046]
apriltag bezier - count : 415,   delta_t : 3,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.49969032  0.52813512 -7.32924652]
apriltag bezier - count : 415,   delta_t : 1,   xf : [-0.62247444 -0.73891024  0.72893894],   vehicle_position : [-0.50436431  0.51867312 -7.25753021]
apriltag bezier - count : 410,   delta_t : 2,   xf : [-0.49244906 -0.50249097  0.8926568 ],   vehicle_position : [-0.50413066  0.49978381 -7.124897  ]
apriltag bezier - count : 410,   delta_t : 1,   xf : [-0.49244906 -0.50249097  0.8926568 ],   vehicle_position : [-0.5023542   0.49640116 -7.08037567]
apriltag bezier - count : 405,   delta_t : 2,   xf : [-0.32210393 -0.50114071  0.95938718],   vehicle_position : [-0.50221378  0.48726419 -6.97033978]
apriltag bezier - count : 399,   delta_t : 1,   xf : [-0.2985817  -0.49404976  0.9611553 ],   vehicle_position : [-0.51098007  0.47901601 -6.89444351]
apriltag bezier - count : 399,   delta_t : 1,   xf : [-0.2985817  -0.49404976  0.9611553 ],   vehicle_position : [-0.5115875   0.47821972 -6.88594913]
apriltag bezier - count : 399,   delta_t : 2,   xf : [-0.2985817  -0.49404976  0.9611553 ],   vehicle_position : [-0.51280117  0.47677702 -6.87342119]
apriltag bezier - count : 399,   delta_t : 3,   xf : [-0.2985817  -0.49404976  0.9611553 ],   vehicle_position : [-0.51347822  0.47582704 -6.86500502]
apriltag bezier - count : 399,   delta_t : 4,   xf : [-0.2985817  -0.49404976  0.9611553 ],   vehicle_position : [-0.51472336  0.47491494 -6.85179615]
apriltag bezier - count : 399,   delta_t : 5,   xf : [-0.2985817  -0.49404976  0.9611553 ],   vehicle_position : [-0.51628453  0.47398749 -6.83864975]
apriltag bezier - count : 399,   delta_t : 6,   xf : [-0.2985817  -0.49404976  0.9611553 ],   vehicle_position : [-0.51780242  0.47274882 -6.82074118]
apriltag bezier - count : 399,   delta_t : 7,   xf : [-0.2985817  -0.49404976  0.9611553 ],   vehicle_position : [-0.52022398  0.47122815 -6.79732895]
