self.yaw: -0.581749677658081
self.home: array('f', [0.5321373343467712, -0.35414108633995056, -2.5663838386535645])
shift: [ 0.41775125 -0.27474332  0.        ]
edge case - count_goal : 502,   delta_t_goal : 1,   xf_goal : [ 0.94988859 -0.6288844  -2.56638384],   vehicle_position : [-1.68498408e-03 -6.49071392e-03 -1.25574961e+01]
apriltag bezier - count : 638,   delta_t : 1,   xf : [ 0.413611   -0.47049662  0.18380924],   vehicle_position : [-4.34691366e-03 -9.11755767e-03 -1.25567865e+01]
apriltag bezier - count : 638,   delta_t : 2,   xf : [ 0.413611   -0.47049662  0.18380924],   vehicle_position : [-4.34691366e-03 -9.11755767e-03 -1.25567865e+01]
apriltag bezier - count : 638,   delta_t : 3,   xf : [ 0.413611   -0.47049662  0.18380924],   vehicle_position : [-1.08710760e-02 -1.68021340e-02 -1.25548468e+01]
apriltag bezier - count : 638,   delta_t : 4,   xf : [ 0.413611   -0.47049662  0.18380924],   vehicle_position : [ -0.01679109  -0.02305638 -12.55082512]
apriltag bezier - count : 638,   delta_t : 5,   xf : [ 0.413611   -0.47049662  0.18380924],   vehicle_position : [ -0.01929524  -0.02568    -12.54783058]
apriltag bezier - count : 638,   delta_t : 6,   xf : [ 0.413611   -0.47049662  0.18380924],   vehicle_position : [ -0.02305804  -0.02925677 -12.54310799]
apriltag bezier - count : 642,   delta_t : 7,   xf : [-0.13520384 -1.38936412  0.22520472],   vehicle_position : [ -0.03427337  -0.04109156 -12.52175617]
apriltag bezier - count : 642,   delta_t : 1,   xf : [-0.13520384 -1.38936412  0.22520472],   vehicle_position : [ -0.03809465  -0.04563601 -12.51324749]
apriltag bezier - count : 642,   delta_t : 2,   xf : [-0.13520384 -1.38936412  0.22520472],   vehicle_position : [ -0.04991509  -0.06117563 -12.47958755]
apriltag bezier - count : 642,   delta_t : 3,   xf : [-0.13520384 -1.38936412  0.22520472],   vehicle_position : [ -0.0570262   -0.07127507 -12.45568752]
apriltag bezier - count : 640,   delta_t : 4,   xf : [-0.47791278 -1.61335564  0.24517308],   vehicle_position : [ -0.06904248  -0.08707696 -12.41532516]
apriltag bezier - count : 640,   delta_t : 1,   xf : [-0.47791278 -1.61335564  0.24517308],   vehicle_position : [ -0.07748912  -0.09546771 -12.39345932]
apriltag bezier - count : 636,   delta_t : 2,   xf : [-0.47791296 -1.61335576  0.2451731 ],   vehicle_position : [ -0.08734681  -0.1047632  -12.36877251]
apriltag bezier - count : 636,   delta_t : 1,   xf : [-0.47791296 -1.61335576  0.2451731 ],   vehicle_position : [ -0.0900375   -0.10985024 -12.35312366]
apriltag bezier - count : 634,   delta_t : 2,   xf : [-0.47791278 -1.61335564  0.24517308],   vehicle_position : [ -0.08228727  -0.1142019  -12.31452942]
apriltag bezier - count : 634,   delta_t : 1,   xf : [-0.47791278 -1.61335564  0.24517308],   vehicle_position : [ -0.07460615  -0.11212281 -12.28329659]
apriltag bezier - count : 631,   delta_t : 2,   xf : [-0.47791278 -1.61335564  0.24517308],   vehicle_position : [ -0.06354914  -0.1053956  -12.21092701]
apriltag bezier - count : 631,   delta_t : 1,   xf : [-0.47791278 -1.61335564  0.24517308],   vehicle_position : [ -0.059636    -0.10302275 -12.18633938]
apriltag bezier - count : 626,   delta_t : 2,   xf : [-0.47791296 -1.61335576  0.2451731 ],   vehicle_position : [ -0.05397167  -0.09878214 -12.12992001]
apriltag bezier - count : 623,   delta_t : 1,   xf : [-0.47791278 -1.61335564  0.24517308],   vehicle_position : [ -0.04867748  -0.10034331 -12.05367756]
apriltag bezier - count : 623,   delta_t : 1,   xf : [-0.47791278 -1.61335564  0.24517308],   vehicle_position : [ -0.04639677  -0.09911782 -12.03805923]
apriltag bezier - count : 623,   delta_t : 2,   xf : [-0.47791278 -1.61335564  0.24517308],   vehicle_position : [ -0.04492115  -0.09839243 -12.03061867]
apriltag bezier - count : 618,   delta_t : 3,   xf : [-0.47791278 -1.61335564  0.24517308],   vehicle_position : [ -0.0391256   -0.09570289 -12.00697803]
apriltag bezier - count : 618,   delta_t : 1,   xf : [-0.47791278 -1.61335564  0.24517308],   vehicle_position : [ -0.03784426  -0.0947559  -12.00221825]
apriltag bezier - count : 618,   delta_t : 2,   xf : [-0.47791278 -1.61335564  0.24517308],   vehicle_position : [ -0.03590159  -0.09338719 -11.99523735]
apriltag bezier - count : 618,   delta_t : 3,   xf : [-0.47791278 -1.61335564  0.24517308],   vehicle_position : [ -0.03464776  -0.09268162 -11.99062634]
apriltag bezier - count : 618,   delta_t : 4,   xf : [-0.47791278 -1.61335564  0.24517308],   vehicle_position : [ -0.03400224  -0.09231213 -11.98840618]
